number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_grow_policy,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_tree_method,state
75,0.7877882653998786,2026-04-16 13:55:39.741764,2026-04-16 13:55:40.323284,0 days 00:00:00.581520,0.8553714989815314,4.14787319815554,depthwise,0.047627625510791895,1,1.2820656682250768,1925,0.00471427222089366,0.028456462106519604,0.7119132912228859,hist,COMPLETE
76,0.7770780185739946,2026-04-16 13:55:40.323439,2026-04-16 13:55:40.945774,0 days 00:00:00.622335,0.8327160039329399,4.108735476119965,depthwise,0.0454879961440746,2,1.2100412340588578,1925,0.008282881512960862,0.02827725669494804,0.7107817038607424,hist,COMPLETE
77,0.780383282859397,2026-04-16 13:55:40.945925,2026-04-16 13:55:41.493077,0 days 00:00:00.547152,0.854906943833268,4.07478078027257,depthwise,0.0484997836875532,1,1.2610668654241763,1775,0.005022085520898315,0.0758824386816713,0.7240182953726246,hist,COMPLETE
78,0.7880469415743926,2026-04-16 13:55:41.493228,2026-04-16 13:55:42.061899,0 days 00:00:00.568671,0.8487841864568025,3.723319921794444,depthwise,0.03167484684631617,1,1.3401996618964782,1875,0.010630365382769479,0.014647570492761473,0.713334366249932,hist,COMPLETE
79,0.7754265668902615,2026-04-16 13:55:42.062062,2026-04-16 13:55:42.672730,0 days 00:00:00.610668,0.8466182825307266,3.746711631657201,depthwise,0.0308726542491293,2,1.125100803662019,1875,0.00986826181803182,0.01460680286257436,0.7013232397689964,hist,COMPLETE
80,0.7709959298587976,2026-04-16 13:55:42.672880,2026-04-16 13:55:42.834137,0 days 00:00:00.161257,0.8569945941008684,3.822591164886596,depthwise,0.028496442855476325,1,1.3948732791620655,450,0.00669194519848826,0.023450691445357927,0.7129795221464563,hist,COMPLETE
81,0.7924001268438188,2026-04-16 13:55:42.834262,2026-04-16 13:55:43.420781,0 days 00:00:00.586519,0.8489643473923295,3.7174964750240456,depthwise,0.04197871104694791,1,1.284160010471313,1950,0.004809702156045761,0.045103051293969,0.7229825021069959,hist,COMPLETE
82,0.783301418377899,2026-04-16 13:55:43.420924,2026-04-16 13:55:43.987083,0 days 00:00:00.566159,0.8378886699860164,3.71346579581757,depthwise,0.04090493318025129,1,1.3437468630667349,1875,0.002158014247085109,0.01299410164042694,0.7236160231074289,hist,COMPLETE
83,0.78816830671766,2026-04-16 13:55:43.987226,2026-04-16 13:55:44.584472,0 days 00:00:00.597246,0.8488412133112554,3.565663968169146,depthwise,0.033930774192367126,1,1.5695980331080865,2000,0.0035367223949343118,0.04693685809392633,0.7083576371829304,hist,COMPLETE
84,0.773591114907889,2026-04-16 13:55:44.584624,2026-04-16 13:55:45.177494,0 days 00:00:00.592870,0.8470984810132582,3.9076228235803914,depthwise,0.03228481438086714,2,1.1406041353947898,1850,0.0035611764857375796,0.04543058114253912,0.7060269839948013,hist,COMPLETE
